head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,espanol_apreciacion,espanol_comentario
21,釋,Liberación,3,次三,風動雷興從其高崇,風動雷興動有為也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El viento se agita, el trueno se alza; sigue lo alto y encumbrado.",Viento y trueno que se alzan: movimiento con obra.
21,釋,Liberación,4,次四,動之丘陵失澤朋,動之丘陵失下危也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Lo mueve hacia las colinas; pierde a los compañeros del pantano.,Moverlo a las colinas: pierde a los de abajo—peligro.
21,釋,Liberación,5,次五,和釋之脂四國之夷,和釋之脂民說無疆也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La unción del deshielo armonioso; la paz de los cuatro reinos.,La unción del deshielo: el gozo del pueblo sin confín.
21,釋,Liberación,6,次六,震于廷喪其和貞,震于廷和正俱亡也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Trueno en la corte; pierde su concordia y su rectitud.,"Trueno en la corte: concordia y rectitud, ambas perdidas."
21,釋,Liberación,7,次七,震震不侮濯漱其詬,震震不侮解恥無方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tronando y tronando, sin ultraje; lava y enjuaga su afrenta.",Tronar sin ultraje: disolver la afrenta sin límite.
21,釋,Liberación,8,次八,震于利巔仆死,震于利與死偕行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Truena tras el provecho; en la cima, se desploma y muere.",Tronar tras el provecho: camina de la mano con la muerte.
21,釋,Liberación,9,上九,今獄後穀終說桎梏,今獄後穀于彼釋殃也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Hoy la cárcel, mañana la fortuna; al fin se libra de los grillos.",Cárcel hoy y fortuna después: allí se libera la desdicha.
22,格,Resistencia,0,首辭,陽氣內壯能格乎群陰攘而郄之,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang, robusto por dentro, sabe resistir a la muchedumbre yin; la rechaza y la repele.",
22,格,Resistencia,1,初一,格內善失貞類,格內善中不省也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Resiste dentro lo bueno; pierde la casta recta.,Resistir dentro lo bueno: el centro no se examina.
22,格,Resistencia,2,次二,格內惡幽貞,格內惡幽貞妙也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Resiste dentro lo malo; rectitud oculta.,Resistir dentro lo malo: rectitud oculta y sutil.
22,格,Resistencia,3,次三,裳格鞶鉤渝,裳格鞶鉤無以制也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La falda resiste; la hebilla del cinto muda. [verso oscuro],La falda que resiste: nada con qué gobernarla.
22,格,Resistencia,4,次四,畢格禽鳥之貞,畢格禽正法位也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La red atrapa las aves: su rectitud.,La red que atrapa: la justa posición de la ley.
22,格,Resistencia,5,次五,膠漆釋弓不射角木離,膠漆釋信不結也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Cola y laca sueltas; el arco no dispara; cuerno y madera se separan.,Cola y laca sueltas: la confianza no traba.
22,格,Resistencia,6,次六,息金消石往小來奕,息金消石美日大也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El metal crece, la piedra se disuelve; va lo pequeño, viene lo grande.","Metal que crece, piedra que mengua: lo bello aumenta día a día."
22,格,Resistencia,7,次七,格其珍類龜緺厲,格其珍類無以自匡也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Resiste su casta preciosa; el cordón de la tortuga: peligro. [verso oscuro],Resistir lo precioso: nada con qué enderezarse.
22,格,Resistencia,8,次八,格彼鞶堅君子得時小人𨲞憂否,格彼鞶堅誼不得行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Resiste aquel cinto firme; el noble halla su hora, el hombre pequeño se pierde en la inquietud: no. [verso oscuro]",Resistir el cinto firme: la equidad no puede obrar.
22,格,Resistencia,9,上九,郭其目䚩其角不庳其體撲,郭目䚩角還自傷也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Abre grandes los ojos, aguza los cuernos; sin abajar el cuerpo, cae abatido. [verso oscuro]",Ojos abiertos y cuernos aguzados: sólo se hiere a sí mismo.
23,夷,Holgura,0,首辭,陽氣傷𨲞陰無救瘣物則平易,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang herido, el yin sin remedio a su mal; los seres entonces se allanan y se vuelven fáciles.",
23,夷,Holgura,1,初一,載幽貳執夷內,載幽執夷易其內也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Sobrelleva la duda oculta; mantiene lo llano por dentro.,Mantener lo llano: se allana por dentro.
23,夷,Holgura,2,次二,陰夷冒于天罔,陰夷冒罔䟽不失也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El yin se allana, cubierto por la red del Cielo.","El yin bajo la red: holgado, y nada pierde."
23,夷,Holgura,3,次三,柔嬰兒于號三日不嗄,嬰兒于號中心和也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tierno el niño de pecho en su llanto; tres días, y no enronquece.",El niño que llora: su corazón íntimo está en concordia.
23,夷,Holgura,4,次四,夷其牙或飫之徒,夷其牙食不足嘉也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Embota sus dientes; alguno se atraca en balde. [verso oscuro],Embotar los dientes: ese comer no es de alabar.
23,夷,Holgura,5,次五,中夷無不利,中夷之利其道多也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Lo llano del centro: nada le es adverso.,El provecho de lo llano central: sus caminos son muchos.
23,夷,Holgura,6,次六,夷于廬其宅丘虛,夷于廬厥德亡也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Arrasado en su choza; su morada, un túmulo hueco.",Arrasado en la choza: su virtud se ha perdido.
23,夷,Holgura,7,次七,榦柔榦弱離木艾金夷,榦柔艾金弱勝彊也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El tronco blando, el tronco débil; parte la madera, siega el metal: allanado. [verso oscuro]",Tronco blando que siega el metal: lo débil vence a lo fuerte.
23,夷,Holgura,8,次八,夷其角厲,夷其角以威傷也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Rompe su cuerno: peligro.,Romper el cuerno: herido por su propia fuerza.
23,夷,Holgura,9,上九,夷于耇利敬病年貞,夷耇之貞懸車鄉也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Achacoso en la vejez; propicio el respeto; enfermo de años, recto.",La rectitud del anciano: cuelga el carro y se retira a la aldea.
24,樂,Gozo,0,首辭,陽始出奧舒疊得以和淖物咸喜樂,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El yang empieza a salir de lo recóndito; se despliega y se remansa en concordia blanda; los seres todos se alegran.,
24,樂,Gozo,1,初一,獨樂款款及不遠,獨樂款款淫其內也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Goza a solas, afanoso, afanoso; no llega lejos.",Gozar a solas: exceso por dentro.
24,樂,Gozo,2,次二,樂不知辰于天,樂不可知以時歲也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Goza sin saber la hora del Cielo.,Un gozo que no se sabe: no se cuenta por las estaciones del año.
24,樂,Gozo,3,次三,不宴不雅𠹑呱啞咋號咷倚戶,不宴不雅禮樂廢也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ni banquete ni decoro; balbuceos, chillidos, alaridos, recostado en la puerta. [verso oscuro]",Ni banquete ni decoro: rito y música en ruinas.
24,樂,Gozo,4,次四,拂其繫絕其纗佚厥心,拂繫絕纗心誠快也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sacude sus ataduras, corta su cordel; libera su corazón.",Cortar las ataduras: el corazón se alegra de veras.
24,樂,Gozo,5,次五,鍾鼓喈喈管絃嚌嚌或承之衰,鍾鼓喈喈樂後悲也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Campanas y tambores, sonoros; flautas y cuerdas, vibrantes; mas alguno hereda el declive.","Campanas y tambores sonoros: tras el gozo, la pena."
24,樂,Gozo,6,次六,大樂無間民神禽鳥之般,大樂無間無不懷也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Gran gozo sin resquicio: el deleite de pueblo, númenes, aves y bestias.",Gran gozo sin resquicio: a todos abriga.
24,樂,Gozo,7,次七,人嘻鬼嘻天要之期,人嘻鬼嘻稱樂畢也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ríen los hombres, ríen los espíritus; el Cielo fija el plazo acordado.",Ríen hombres y espíritus: el gozo proclamado se acaba.
24,樂,Gozo,8,次八,嘻嘻自懼亡彼愆虞,嘻嘻自懼終自保也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Alegre, alegre, mas temiendo por sí; deja caer su cuita errada. [verso oscuro]",Alegre y temeroso: al fin se guarda a sí mismo.
24,樂,Gozo,9,上九,極樂之幾不移日而悲則哭泣之𨲠資,極樂之幾信可悔也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El filo del gozo extremo; sin mudar el día, la pena; y luego el precio del llanto. [verso oscuro]",El filo del gozo extremo: de veras es de lamentar.
25,爭,Disputa,0,首辭,陽氣氾施不偏不頗物與爭訟各遵其儀,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang se derrama sin sesgo ni parcialidad; los seres pleitean, cada uno según su norma.",
25,爭,Disputa,1,初一,爭不爭隱冥,爭不爭道之素也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Disputa sin disputar; oculto en la tiniebla.,Disputar sin disputar: la llaneza de la Vía.
25,爭,Disputa,2,次二,赫河臞,赫河之臞何可怙也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El río deslumbrante, enjuto. [verso oscuro]",El río enjuto: ¿en qué fiarse de él?
25,爭,Disputa,3,次三,爭射齦齦,爭射誾誾君子讓鄰也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Disputan y se disparan, porfiando, porfiando.",Disputar porfiando: el noble cede a su vecino.
25,爭,Disputa,4,次四,爭小利不酋貞,小利不絕正道乃昏也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Disputa por poca ganancia; rectitud no cumplida.,Poca ganancia no renunciada: entonces el recto camino se oscurece.
25,爭,Disputa,5,次五,爭于逵利以無方,爭于逵爭處中也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Disputa en la calzada; propicio por no tomar bando.,Disputar en la calzada: disputa desde el centro.
25,爭,Disputa,6,次六,臂膊脛如股腳䐜如維身之疾,臂脛如股臣大隆也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Brazo y hombro, la espinilla como el muslo, el pie hinchado: no es más que dolencia del cuerpo.",Espinilla como muslo: el ministro se agranda en exceso.
25,爭,Disputa,7,次七,爭干及矛䩜用亨于王前行,干矛之爭衛君躬也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Disputa con escudo y lanza, con vaina; usado, ofrecido ante el rey, avanza. [verso oscuro]",La disputa de escudo y lanza: guarda la persona del señor.
25,爭,Disputa,8,次八,狼盈口矢在其後,狼盈口不顧害也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El lobo con la boca llena; la flecha está a su espalda.,El lobo con la boca llena: ciego al daño.
25,爭,Disputa,9,上九,兩虎相牙知掣者全,兩虎相牙知所制也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Dos tigres enseñándose los colmillos; el que sabe contenerse queda entero.,Dos tigres frente a frente: sabe dónde refrenarse.
26,務,Empeño,0,首辭,陽氣勉務物咸若其心而揔其事,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang se afana; los seres conforman su corazón y recogen sus asuntos.,
26,務,Empeño,1,初一,始務無方小人亦用罔,始務無方非小人所理也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Empieza el afán sin método; también el hombre pequeño obra en vano.,Afán sin método al empezar: no es lo que el hombre pequeño gobierna.
26,務,Empeño,2,次二,新鮮自求珍絜精其芳君子攸行,新鮮自求光于己也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Fresco y nuevo, se busca a sí mismo; atesora pureza, afina su fragancia: es el andar del noble.",Fresco y nuevo por sí mismo: brilla por su propia obra.
26,務,Empeño,3,次三,不拘不掣其心腐且敗,不拘不掣其體不全也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Ni sujeto ni tirado; su corazón se pudre y se echa a perder.,Ni sujeto ni tirado: el cuerpo no está entero.
26,務,Empeño,4,次四,見矢自升利羽之朋蓋戴車載,矢及蓋厥道然也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ve la flecha alzarse sola; los de pluma prosperan; dosel enarbolado, carro cargado. [verso oscuro]",Flecha y dosel: así es su camino.
26,務,Empeño,5,次五,蜘蛛之務不如蠶之緰,蜘蛛之務無益人也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El afán de la araña no vale como el hilo del gusano de seda.,El afán de la araña: no aprovecha a los hombres.
26,務,Empeño,6,次六,華實芳若用則臧若,華芳用臧利當年也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Flor y fruto, fragantes; si se usan, buenos.",Flor fragante bien usada: provecho para el año presente.
26,務,Empeño,7,次七,喪其芳無攸往,喪其芳德以衰也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Pierde su fragancia; no hay adónde ir.,Perder la fragancia: la virtud decae.
26,務,Empeño,8,次八,黃中免于禍貞,黃中免禍和以正也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El amarillo del centro se libra de la desgracia: recto.,El justo medio que se libra: concordia por la rectitud.
26,務,Empeño,9,上九,務成自敗雨成自隊,務成自敗非厥命也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Forzar el logro y arruinarse; la lluvia se forma y cae de suyo.,"Forzar el logro y arruinarse: no es su destino, sino él mismo."
27,事,Deberes,0,首辭,陽氣大勗昭職物則信信各致其力,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang alienta con fuerza y esclarece los deberes; los seres, fieles y fieles, cada uno rinde su esfuerzo.",
27,事,Deberes,1,初一,事無事至無不事,事無事以道行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Atiende los asuntos sin ajetreo; y así nada queda sin atender.,Asuntos sin ajetreo: procede por la Vía.
27,事,Deberes,2,次二,事在樞不咨不諏喪其哲符,不咨不諏其知亡也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El asunto en el eje; sin consultar, sin preguntar, pierde su prenda de sabiduría.",Sin consultar ni preguntar: su saber se pierde.
27,事,Deberes,3,次三,時往時來間不容氂,時往時來不失趣也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El momento va, el momento viene; el intersticio no admite un pelo.",El momento que va y viene: no yerra el propósito.
27,事,Deberes,4,次四,男女事不代之字,男女事非厥務也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Asunto de hombre y mujer, que no se hace por otro. [verso oscuro]",Asunto de hombre y mujer: no es su tarea propia.
27,事,Deberes,5,次五,事其事王假之食,事其事職所任也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Atiende su asunto; el rey le concede el sustento.,Atender su asunto: el encargo que su oficio sostiene.
27,事,Deberes,6,次六,任大自事方來不救,任大自事奚可堪也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Carga excesiva y aun así lo hace solo; llega el apuro y no hay salvación.,Carga excesiva a solas: ¿cómo va a poder con ella?
27,事,Deberes,7,次七,丈人扶孤豎子提壺,丈人扶孤小子知方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El anciano sostiene al huérfano; el mozo carga el jarro.,El anciano que sostiene al huérfano: el mozo aprende el buen rumbo.
27,事,Deberes,8,次八,女男事十年不誨,女男事終家不亨也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Asunto de mujer y hombre; diez años sin fruto.,Asunto invertido: al final la casa no prospera.
27,事,Deberes,9,上九,到耳順止事貞,到耳順止逆聞順行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Llega al oído, obedece, se detiene; el asunto, recto. [verso oscuro]","Oído a contrapelo, obrado a favor de pelo."
28,更,Cambio,0,首辭,陽氣既飛變勢易形物改其靈,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang ya vuela; cambia el ímpetu, muda la forma; los seres alteran su numen.",
28,更,Cambio,1,初一,冥化否貞若性,冥化否貞少更方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Transformación oscura: no; recto, como por naturaleza.",Transformación oscura: poco cambia su rumbo.
28,更,Cambio,2,次二,時七時九軫轉其道,時七時九不失當也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ora siete, ora nueve; el eje gira su curso.","Ora siete, ora nueve: no yerra lo oportuno."
28,更,Cambio,3,次三,化白于泥淄,化白于泥變不明也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Volver blanco en el barro negro. [imposible],Volver blanco en el barro: el cambio no cuaja.
28,更,Cambio,4,次四,更之小得用無不利,更之小得民所望也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Cámbialo un poco, y gana; usado, nada le es adverso.",Cambio pequeño con ganancia: lo que el pueblo anhela.
28,更,Cambio,5,次五,童牛角馬不今不古,童牛角馬變天常也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Ternero sin cuernos, caballo con cuernos; ni de hoy ni de antaño.",Ternero y caballo trastocados: altera la constancia del Cielo.
28,更,Cambio,6,次六,入水載車出水載杭宜于王之更,車杭出入其道更也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"En el agua, usa el carro; fuera del agua, usa la barca; conviene a las reformas del rey.",Carro y barca según entra o sale: su vía es cambiar.
28,更,Cambio,7,次七,更不更以作病,更不更不能自臧也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Cambia lo que no debía cambiar, y así engendra la dolencia.",Cambiar lo que no: no puede hacerse bueno a sí mismo.
28,更,Cambio,8,次八,駟馬跙跙而更其御,駟馬跙跙更御乃良也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El tiro de cuatro caballos tropezando; por eso cambia al cochero.,El tiro que tropieza: cambiar de cochero es lo bueno.
28,更,Cambio,9,上九,不終其德三歲見代,不終之代不可長也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),No lleva su virtud hasta el fin; en tres años lo reemplazan.,Relevo del que no persevera: no puede durar.
29,斷,Decisión,0,首辭,陽氣彊內而剛外動而能有斷決,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang, fuerte por dentro y duro por fuera; al moverse, sabe decidir y resolver.",
29,斷,Decisión,1,初一,斷心滅斧冥其繩矩,斷心滅斧內自治也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Decide en el corazón, aparta el hacha; interioriza su cuerda y su escuadra.",Decidir en el corazón: se gobierna por dentro.
29,斷,Decisión,2,次二,冥斷否在塞耳,冥斷否中心疑也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Decisión oscura: no; está en el oído tapado.,Decisión oscura: el corazón íntimo duda.
29,斷,Decisión,3,次三,決其聾𪖣利以治穢,決其聾𪖣利有謀也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Despeja su sordera y su nariz tupida; propicio para limpiar la inmundicia.,Despejar la sordera: propicio tener un plan.
29,斷,Decisión,4,次四,斷我否食非其有恥,斷我否食可恥也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),¿Cortarme? no; comer lo que no es suyo: vergüenza.,Comer lo ajeno: vergonzoso.
29,斷,Decisión,5,次五,大腹決其股脫君子有斷小人以活,太腹決脫斷得理也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El gran vientre cortado, su muslo suelto; el noble tiene resolución, el hombre pequeño así vive. [verso oscuro]",Cortar y soltar: decidir da con el principio.
29,斷,Decisión,6,次六,決不決爾仇不闊乃後有鉞,決不決辜及身也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Decide lo que no debía; tu enemigo no está lejos; luego, después, viene el hacha.",Decidir lo que no: la culpa alcanza a la persona.
29,斷,Decisión,7,次七,庚斷甲我心孔碩乃後有鑠,庚斷甲義斷仁也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El metal corta la coraza; mi corazón muy grande; luego, después, viene la fundición. [verso oscuro]",El metal que corta lo primero: la justicia corta a la clemencia.
29,斷,Decisión,8,次八,勇侏之傠盜蒙決夬,盜蒙之決妄斷也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La bravata del enano valiente; el ladrón en lo oscuro decide sin freno. [verso oscuro],La decisión del ladrón: un fallo temerario.
29,斷,Decisión,9,上九,斧刃蛾蛾利匠人之貞,蛾蛾之斧利征亂也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El filo del hacha, fino y agudo; propicio a la rectitud del artesano.",El hacha fina y aguda: propicia para batir el desorden.
30,毅,Resolución Audaz,0,首辭,陽氣方良毅然敢行物信其志,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang en su buen punto; con audacia se atreve a obrar; los seres confían en su voluntad.,
30,毅,Resolución Audaz,1,初一,懷威滿虛,懷威滿虛道德亡也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Alberga fiereza, colmando el vacío.",Fiereza que colma el vacío: la Vía y la virtud se pierden.
30,毅,Resolución Audaz,2,次二,毅于心腹貞,毅于心腹內堅剛也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Audaz en el corazón y el vientre: recto.,Audaz en corazón y vientre: firme y duro por dentro.
30,毅,Resolución Audaz,3,次三,戴威滿頭君子不足小人有餘,戴威滿頭小人所長也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Lleva la fiereza colmándole la cabeza; el noble se queda corto, el hombre pequeño le sobra.",Fiereza que colma la cabeza: el fuerte del hombre pequeño.
30,毅,Resolución Audaz,4,次四,君子說器其言柔且毅,君子說器言有方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El noble expone la cosa; su palabra, blanda y a la vez firme.",El noble que expone: su palabra tiene método.
30,毅,Resolución Audaz,5,次五,不田而穀毅于揀祿,不田而穀食不當也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sin labrar, tiene grano; audaz en escoger su paga.",Grano sin labrar: el sustento no le corresponde.
30,毅,Resolución Audaz,6,次六,毅于棟柱利安大主,毅于棟柱國任彊也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Firme como viga y pilar; propicio para asentar al gran señor.,Firme como viga y pilar: el encargo del reino es fuerte.
30,毅,Resolución Audaz,7,次七,觥羊之毅鳴不類,觥羊之毅言不法也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La audacia del carnero de gran cuerno; su bramido no es de su casta.,La audacia del carnero: sus palabras sin ley.
30,毅,Resolución Audaz,8,次八,毅于禍貞君子攸名,毅于禍貞不可幽蔀也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Firme en la desgracia, recto: el renombre del noble.",Firme y recto en la desgracia: no se le puede ensombrecer.
30,毅,Resolución Audaz,9,上九,豨毅其牙發以張弧,豨毅其牙吏所獵也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El jabalí saca audaz su colmillo; se lanza, y se tensa el arco.",El jabalí que saca el colmillo: lo que caza el montero.
31,裝,Reunir,0,首辭,陽氣雖大用事微陰據下裝而欲去,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Aunque el aliento yang es grande, su obra ya es tenue; el yin ocupa lo bajo; hace el equipaje y quiere partir.",
31,裝,Reunir,1,初一,幽裝莫見之行,幽裝莫見心已外也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Hace el equipaje en secreto; nadie ve la marcha.,Equipaje secreto: el corazón ya está afuera.
31,裝,Reunir,2,次二,𪃿鵝慘于冰翼彼南風內懷其乘,𪃿鵝之慘懷憂無快也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El ganso se aflige sobre el hielo, las alas hacia el viento del sur, guardando dentro su partir. [verso oscuro]","La aflicción del ganso: guarda pena, sin gozo."
31,裝,Reunir,3,次三,往其志或承之喜,往其志遇所快也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Va tras su anhelo; alguno hereda por ello la alegría.,Ir tras su anhelo: encuentra lo que lo alegra.
31,裝,Reunir,4,次四,鶤雞朝飛踤于北嚶嚶相和不輟食,鶤雞朝飛何足賴也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El ave grande vuela al alba, se posa al norte; piando, piando a coro, sin dejar de comer.",El ave que vuela al alba: ¿en qué fiarse de ella?
31,裝,Reunir,5,次五,鴻裝于淄飲食頤頤,鴻裝于淄大將得志也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El cisne se apresta sobre el agua negra, comiendo y bebiendo a sus anchas.",El cisne que se apresta: el grande alcanzará su anhelo.
31,裝,Reunir,6,次六,經六衢周九路不限其行賈,經六衢商旅事也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Recorre las seis encrucijadas, rodea los nueve caminos; no pone límite a sus viajes de comercio.",Recorrer las seis encrucijadas: el asunto del mercader viajero.
31,裝,Reunir,7,次七,裝無㒧利征咎,裝無㒧禍且至也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Hace el equipaje sin compañero; propicio marchar: falta. [verso oscuro],Equipaje sin compañero: la desgracia está por llegar.
31,裝,Reunir,8,次八,季仲播軌泣于道用送厥往,季仲播軌送其死也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El menor y el mediano esparcen las rodadas, llorando en el camino, para despedir su partida.",Esparcir las rodadas: despiden su muerte.
31,裝,Reunir,9,上九,裝于昏,裝于昏尚可避也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Hace el equipaje al anochecer.,Equipaje al anochecer: aún se puede evitar.
32,衆,Legión,0,首辭,陽氣信高懷齊萬物宣明大眾多,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang, alto de veras, alberga concordia; los diez mil seres se despliegan luminosos; grande es la muchedumbre.",
32,衆,Legión,1,初一,冥兵始火入耳農輟馬穀尸將班于田,冥兵之始始則不臧也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tropa oscura que empieza; el fuego entra en el oído; el labrador se detiene, los caballos comen grano; el que carga los muertos los formará en el campo. [verso oscuro]",El comienzo de la tropa oscura: empezar ya no es bueno.
32,衆,Legión,2,次二,兵無刃師無陳麟或賓之溫,兵無刃德服無方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tropa sin filo, hueste sin formación; al unicornio, alguno lo acoge con tibieza.",Tropa sin filo: la virtud somete sin confín.
32,衆,Legión,3,次三,軍或纍車丈人摧孥內蹈之瑕,軍或纍車廟戰內傷也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El ejército, con los carros enredados; el anciano aplasta a los suyos; pisa por dentro sus tachas.",Carros enredados: la guerra en el templo hiere por dentro.
32,衆,Legión,4,次四,虎虓振廞豹勝其祕否,虎虓振廞如鷹之揚也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El tigre ruge sacudiéndose; el leopardo vence en secreto: no. [verso oscuro],El tigre que ruge: como el halcón que se remonta.
32,衆,Legión,5,次五,躆戰喈喈若熊若螭,躆戰喈喈恃力作王也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Agazapado para el combate, clamando; como oso, como dragón sin cuerno.",Agazapado y clamando: se fía de la fuerza para hacerse rey.
